No.,熟語,意味,出現冊数
174,go out,外出する,3
175,be willing to do,進んで〜する,3
176,in detail,詳細に,3
177,be aware of ～,～に気づいている,3
178,used to do,以前は～だった,3
179,make sure that ～,～であることを確実にする,3
180,all the time,いつでも,3
181,by chance,偶然に、たまたま,3
182,do away with ～,不要なものを廃止する、なくす,3
183,give in to~,〜に屈する,3
184,consist of~,〜で構成されている、〜から成る,3
185,be different from ～,～と異なる,3
186,be afraid of ～,～を恐れる、怖がる,3
187,look over ～,～をざっと目を通して調べる,3
188,participate in ～,～に参加する,3
189,make up one's mind,決心する,3
190,carry on ~,〜を続ける,3
191,help ～ with …,～の…を手伝う,3
192,hand in ～,～を提出する,3
193,at random,無作為に、手当たり次第に,3
194,die out,死滅する、完全に消える,3
195,be made (out) of~,〜でできている、〜で作られている,3
196,for good（and all）,永久に,3
197,as a（general）rule,通例、概して,3
198,allow for ～,～を考慮に入れる,3
199,get lost,道に迷う,3
200,as for [to] ~,〜に関しては、〜はどうかと言えば,3
